JD V-C s1 V-C1 s2 V-C2 s3 C-C1 s4 C-C2 s5 C1-C2 s6 HELCOR AIRMASS 
Aperture: 7, Filter: R, JD: geocentric
2457036.22311 -3.3267 0.0122 -3.9167 0.0206 -1.0980 0.0023 -0.5900 0.0239 2.2287 0.0124 2.8187 0.0207 0.00286 1.026 
2457036.22334 -3.3213 0.0127 -3.9080 0.0229 -1.0981 0.0024 -0.5867 0.0262 2.2232 0.0129 2.8099 0.0230 0.00286 1.026 
2457036.22358 -3.3112 0.0111 -3.8759 0.0196 -1.0829 0.0022 -0.5647 0.0225 2.2283 0.0113 2.7930 0.0197 0.00286 1.026 
2457036.22381 -3.3012 0.0101 -3.8899 0.0175 -1.0888 0.0020 -0.5887 0.0202 2.2124 0.0103 2.8011 0.0176 0.00286 1.025 
2457036.22406 -3.3055 0.0098 -3.8667 0.0162 -1.0879 0.0020 -0.5612 0.0189 2.2176 0.0100 2.7788 0.0163 0.00286 1.025 
2457036.22429 -3.3083 0.0112 -3.8770 0.0182 -1.0752 0.0021 -0.5687 0.0214 2.2331 0.0114 2.8018 0.0183 0.00286 1.025 
2457036.22452 -3.3113 0.0098 -3.8684 0.0156 -1.0854 0.0019 -0.5571 0.0184 2.2259 0.0099 2.7830 0.0157 0.00286 1.025 
2457036.22476 -3.3023 0.0094 -3.8681 0.0158 -1.0674 0.0018 -0.5658 0.0184 2.2349 0.0095 2.8007 0.0159 0.00286 1.025 
2457036.22499 -3.3167 0.0092 -3.8717 0.0156 -1.0770 0.0018 -0.5550 0.0181 2.2397 0.0093 2.7947 0.0157 0.00286 1.025 
2457036.22524 -3.2977 0.0093 -3.8524 0.0148 -1.0573 0.0018 -0.5547 0.0175 2.2404 0.0094 2.7951 0.0149 0.00286 1.024 
2457036.22547 -3.3106 0.0090 -3.8888 0.0150 -1.0765 0.0018 -0.5782 0.0175 2.2341 0.0091 2.8123 0.0151 0.00286 1.024 
2457036.22570 -3.3471 0.0110 -3.9196 0.0192 -1.0632 0.0021 -0.5725 0.0221 2.2839 0.0112 2.8564 0.0193 0.00286 1.024 
2457036.22594 -3.3143 0.0161 -3.8896 0.0264 -1.0661 0.0027 -0.5753 0.0309 2.2482 0.0163 2.8235 0.0265 0.00286 1.024 
2457036.22618 -3.3059 0.0176 -3.8934 0.0303 -1.0497 0.0030 -0.5875 0.0350 2.2562 0.0178 2.8437 0.0304 0.00286 1.024 
2457036.22642 -3.2928 0.0200 -3.8628 0.0337 -1.0768 0.0035 -0.5700 0.0392 2.2160 0.0203 2.7860 0.0339 0.00286 1.024 
2457036.22665 -3.3370 0.0232 -3.8271 0.0363 -1.0517 0.0038 -0.4901 0.0431 2.2853 0.0235 2.7754 0.0365 0.00286 1.023 
2457036.45079 -3.6952 0.0103 -4.2363 0.0169 -1.4552 0.0019 -0.5411 0.0198 2.2400 0.0105 2.7811 0.0170 0.00284 1.470 
2457036.45102 -3.6963 0.0109 -4.2533 0.0185 -1.4676 0.0019 -0.5570 0.0215 2.2287 0.0110 2.7857 0.0186 0.00284 1.472 
2457036.45127 -3.7066 0.0114 -4.2623 0.0181 -1.4525 0.0019 -0.5557 0.0214 2.2541 0.0115 2.8098 0.0182 0.00284 1.473 
2457036.45150 -3.6808 0.0112 -4.2207 0.0182 -1.4489 0.0020 -0.5399 0.0214 2.2319 0.0114 2.7718 0.0183 0.00284 1.475 
2457036.45174 -3.7210 0.0115 -4.2566 0.0180 -1.4621 0.0019 -0.5356 0.0214 2.2589 0.0116 2.7945 0.0181 0.00284 1.476 
2457036.45197 -3.7095 0.0117 -4.2736 0.0197 -1.4609 0.0021 -0.5641 0.0229 2.2486 0.0119 2.8127 0.0198 0.00284 1.478 
2457036.45222 -3.6813 0.0114 -4.2399 0.0193 -1.4624 0.0022 -0.5586 0.0224 2.2189 0.0116 2.7775 0.0194 0.00284 1.479 
2457036.45246 -3.6952 0.0111 -4.2387 0.0176 -1.4585 0.0019 -0.5435 0.0208 2.2367 0.0112 2.7802 0.0177 0.00284 1.481 
2457036.45269 -3.6789 0.0110 -4.2345 0.0182 -1.4616 0.0021 -0.5556 0.0213 2.2173 0.0112 2.7729 0.0183 0.00284 1.482 
2457036.45293 -3.7184 0.0112 -4.2756 0.0184 -1.4455 0.0019 -0.5572 0.0215 2.2729 0.0113 2.8301 0.0185 0.00284 1.484 
2457036.22688 -3.2740 0.0204 -3.8414 0.0337 -1.0663 0.0035 -0.5674 0.0394 2.2077 0.0206 2.7751 0.0339 0.00286 1.023 
2457036.45317 -3.7054 0.0111 -4.2495 0.0179 -1.4588 0.0019 -0.5441 0.0211 2.2466 0.0112 2.7907 0.0180 0.00284 1.485 
2457036.45341 -3.6859 0.0133 -4.2588 0.0223 -1.4140 0.0022 -0.5729 0.0260 2.2719 0.0135 2.8448 0.0224 0.00284 1.487 
2457036.45364 -3.7308 0.0178 99.9999 9.9999 -1.4481 0.0028 99.9999 9.9999 2.2827 0.0180 99.9999 9.9999 0.00284 1.488 
2457036.45388 -3.7018 0.0254 -4.2464 0.0413 -1.5731 0.0040 -0.5446 0.0485 2.1287 0.0257 2.6733 0.0415 0.00284 1.490 
2457036.45413 -3.7167 0.0230 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 0.00284 1.491 
2457036.45436 -3.6901 0.0261 99.9999 9.9999 -1.5219 0.0042 99.9999 9.9999 2.1682 0.0264 99.9999 9.9999 0.00284 1.493 
2457036.45460 -3.7879 0.0307 99.9999 9.9999 -1.4672 0.0043 99.9999 9.9999 2.3207 0.0310 99.9999 9.9999 0.00284 1.494 
2457036.45483 -3.7415 0.0191 99.9999 9.9999 -1.4247 0.0030 99.9999 9.9999 2.3168 0.0193 99.9999 9.9999 0.00284 1.496 
2457036.45507 -3.7796 0.0168 -4.3237 0.0271 -1.4305 0.0027 -0.5441 0.0319 2.3491 0.0170 2.8932 0.0272 0.00284 1.497 
2457036.45532 -3.7622 0.0146 -4.2993 0.0227 -1.4503 0.0023 -0.5371 0.0270 2.3119 0.0148 2.8490 0.0228 0.00284 1.499 
2457036.22712 -3.2747 0.0167 -3.9339 0.0317 -1.0831 0.0030 -0.6592 0.0358 2.1916 0.0169 2.8508 0.0318 0.00286 1.023 
2457036.45555 -3.7707 0.0142 -4.3174 0.0231 -1.4516 0.0024 -0.5467 0.0271 2.3191 0.0144 2.8658 0.0232 0.00284 1.500 
2457036.45579 -3.7006 0.0155 -4.2558 0.0250 -1.4499 0.0026 -0.5552 0.0294 2.2507 0.0157 2.8059 0.0251 0.00284 1.502 
2457036.45604 -3.7256 0.0187 -4.2675 0.0307 -1.5679 0.0032 -0.5419 0.0359 2.1577 0.0189 2.6996 0.0308 0.00284 1.504 
2457036.45627 -3.7508 0.0207 -4.3278 0.0349 -1.4650 0.0032 -0.5770 0.0406 2.2858 0.0209 2.8628 0.0350 0.00284 1.505 
2457036.45651 -3.7181 0.0196 -4.2673 0.0339 -1.4648 0.0032 -0.5492 0.0392 2.2533 0.0198 2.8025 0.0340 0.00284 1.507 
2457036.45675 -3.7011 0.0217 -4.2689 0.0362 -1.5337 0.0036 -0.5678 0.0422 2.1674 0.0220 2.7352 0.0364 0.00284 1.508 
2457036.45699 -3.7485 0.0245 -4.3264 0.0427 -1.4452 0.0036 -0.5779 0.0492 2.3033 0.0247 2.8812 0.0428 0.00284 1.510 
2457036.45723 -3.7231 0.0230 -4.2611 0.0357 -1.4641 0.0036 -0.5380 0.0425 2.2590 0.0232 2.7970 0.0359 0.00284 1.511 
2457036.45746 -3.7039 0.0188 -4.2732 0.0316 -1.4448 0.0031 -0.5693 0.0368 2.2591 0.0190 2.8284 0.0317 0.00284 1.513 
2457036.45770 -3.7736 0.0185 -4.3128 0.0295 -1.4447 0.0028 -0.5392 0.0348 2.3289 0.0187 2.8681 0.0296 0.00284 1.515 
2457036.22736 -3.2674 0.0156 -3.8677 0.0265 -1.0480 0.0028 -0.6003 0.0308 2.2194 0.0158 2.8197 0.0266 0.00286 1.023 
2457036.45793 -3.7928 0.0173 -4.4172 0.0315 -1.4510 0.0027 -0.6244 0.0359 2.3418 0.0175 2.9662 0.0316 0.00284 1.516 
2457036.45818 -3.6978 0.0226 -4.3476 0.0418 -1.5117 0.0039 -0.6498 0.0475 2.1861 0.0229 2.8359 0.0420 0.00284 1.518 
2457036.45865 -3.7041 0.0297 -4.3182 0.0557 -1.4839 0.0047 -0.6141 0.0631 2.2202 0.0300 2.8343 0.0559 0.00284 1.521 
2457036.45888 -3.8168 0.0360 -4.3884 0.0617 -1.4666 0.0049 -0.5716 0.0714 2.3502 0.0363 2.9218 0.0619 0.00284 1.523 
2457036.45912 -3.8785 0.0346 -4.3601 0.0549 -1.4225 0.0045 -0.4816 0.0649 2.4560 0.0349 2.9376 0.0551 0.00284 1.524 
2457036.45936 -3.8388 0.0282 99.9999 9.9999 -1.3990 0.0036 99.9999 9.9999 2.4398 0.0284 99.9999 9.9999 0.00284 1.526 
2457036.45983 -3.7738 0.0296 -4.3391 0.0482 -1.4561 0.0041 -0.5653 0.0566 2.3177 0.0299 2.8830 0.0484 0.00284 1.529 
2457036.46006 -3.7232 0.0219 -4.3429 0.0365 -1.4720 0.0034 -0.6197 0.0426 2.2512 0.0221 2.8709 0.0366 0.00284 1.531 
2457036.22759 -3.2911 0.0116 -3.8726 0.0206 -1.0529 0.0022 -0.5815 0.0236 2.2382 0.0118 2.8197 0.0207 0.00286 1.023 
2457036.46031 -3.7507 0.0257 -4.3225 0.0425 -1.4400 0.0037 -0.5718 0.0497 2.3107 0.0259 2.8825 0.0426 0.00284 1.532 
2457036.46054 -3.7717 0.0234 -4.3507 0.0389 -1.5047 0.0036 -0.5790 0.0454 2.2670 0.0236 2.8460 0.0390 0.00284 1.534 
2457036.46078 -3.7914 0.0220 -4.3375 0.0363 -1.4023 0.0032 -0.5461 0.0424 2.3891 0.0222 2.9352 0.0364 0.00284 1.535 
2457036.46101 -3.8251 0.0214 -4.3875 0.0351 -1.3903 0.0030 -0.5624 0.0411 2.4348 0.0216 2.9972 0.0352 0.00284 1.537 
2457036.46124 -3.8114 0.0241 -4.3521 0.0395 -1.4650 0.0034 -0.5407 0.0463 2.3464 0.0243 2.8871 0.0396 0.00284 1.539 
2457036.46149 -3.7620 0.0312 99.9999 9.9999 -1.5153 0.0045 99.9999 9.9999 2.2467 0.0315 99.9999 9.9999 0.00284 1.540 
2457036.46196 -3.8723 0.1533 99.9999 9.9999 -1.5184 0.0177 99.9999 9.9999 2.3539 0.1542 99.9999 9.9999 0.00284 1.544 
2457036.22783 -3.2883 0.0120 -3.8567 0.0190 -1.0593 0.0022 -0.5684 0.0225 2.2290 0.0122 2.7974 0.0191 0.00286 1.023 
2457036.22806 -3.2856 0.0112 -3.8657 0.0192 -1.0466 0.0021 -0.5801 0.0222 2.2390 0.0114 2.8191 0.0193 0.00286 1.022 
2457036.22830 -3.2973 0.0104 -3.8393 0.0172 -1.0620 0.0021 -0.5420 0.0201 2.2353 0.0106 2.7773 0.0173 0.00286 1.022 
2457036.22854 -3.2697 0.0093 -3.8508 0.0162 -1.0511 0.0019 -0.5811 0.0187 2.2186 0.0095 2.7997 0.0163 0.00286 1.022 
2457036.22878 -3.2906 0.0094 -3.8460 0.0161 -1.0352 0.0019 -0.5554 0.0186 2.2554 0.0096 2.8108 0.0162 0.00286 1.022 
2457036.22901 -3.2915 0.0097 -3.8409 0.0159 -1.0447 0.0019 -0.5494 0.0186 2.2468 0.0098 2.7962 0.0160 0.00286 1.022 
2457036.22924 -3.2692 0.0091 -3.8119 0.0153 -1.0316 0.0018 -0.5427 0.0178 2.2376 0.0092 2.7803 0.0154 0.00286 1.022 
2457036.22949 -3.2632 0.0090 -3.8636 0.0158 -1.0314 0.0019 -0.6004 0.0182 2.2318 0.0092 2.8322 0.0159 0.00286 1.021 
2457036.22972 -3.2640 0.0091 -3.8259 0.0149 -1.0364 0.0018 -0.5619 0.0175 2.2276 0.0092 2.7895 0.0150 0.00286 1.021 
2457036.22996 -3.2802 0.0091 -3.8104 0.0144 -1.0354 0.0018 -0.5302 0.0170 2.2448 0.0092 2.7750 0.0145 0.00286 1.021 
2457036.23019 -3.2657 0.0088 -3.8291 0.0149 -1.0236 0.0018 -0.5634 0.0173 2.2421 0.0089 2.8055 0.0150 0.00286 1.021 
2457036.23043 -3.2554 0.0087 -3.8370 0.0148 -1.0237 0.0018 -0.5816 0.0172 2.2317 0.0088 2.8133 0.0149 0.00286 1.021 
2457036.23067 -3.2666 0.0090 -3.8303 0.0150 -1.0205 0.0018 -0.5637 0.0175 2.2461 0.0091 2.8098 0.0151 0.00286 1.021 
2457036.23090 -3.2643 0.0090 -3.8253 0.0150 -1.0211 0.0018 -0.5610 0.0175 2.2432 0.0091 2.8042 0.0151 0.00286 1.021 
2457036.23114 -3.2701 0.0092 -3.8312 0.0153 -1.0218 0.0019 -0.5611 0.0179 2.2483 0.0094 2.8094 0.0154 0.00286 1.020 
2457036.23137 -3.2517 0.0090 -3.8227 0.0148 -1.0113 0.0018 -0.5710 0.0173 2.2404 0.0091 2.8114 0.0149 0.00286 1.020 
2457036.23161 -3.2502 0.0085 -3.8317 0.0151 -1.0208 0.0018 -0.5815 0.0173 2.2294 0.0086 2.8109 0.0152 0.00286 1.020 
2457036.23185 -3.2522 0.0090 -3.8109 0.0145 -1.0049 0.0018 -0.5587 0.0171 2.2473 0.0091 2.8060 0.0146 0.00286 1.020 
2457036.23209 -3.2526 0.0087 -3.8227 0.0154 -1.0052 0.0018 -0.5701 0.0177 2.2474 0.0088 2.8175 0.0155 0.00286 1.020 
2457036.23232 -3.2630 0.0088 -3.8112 0.0145 -1.0154 0.0018 -0.5482 0.0170 2.2476 0.0089 2.7958 0.0146 0.00286 1.020 
