JD V-C s1 V-C1 s2 V-C2 s3 V-C3 s4 C-C1 s5 C-C2 s6 C-C3 s7 C1-C2 s8 C1-C3 s9 C2-C3 s10 HELCOR AIRMASS 
Aperture: 3, Filter: R, JD: geocentric
2456967.32028 1.4815 0.0067 -1.3704 0.0197 0.4805 0.0078 -0.8717 0.0136 -2.8519 0.0188 -1.0010 0.0051 -2.3532 0.0123 1.8509 0.0193 0.4987 0.0223 -1.3522 0.0129 0.00227 1.091 
2456967.32178 1.4939 0.0070 -1.3509 0.0198 0.4891 0.0080 -0.8855 0.0147 -2.8448 0.0189 -1.0048 0.0051 -2.3794 0.0133 1.8400 0.0192 0.4654 0.0228 -1.3746 0.0139 0.00227 1.092 
2456967.32329 1.4771 0.0071 -1.3454 0.0211 0.4752 0.0081 -0.8561 0.0144 -2.8225 0.0201 -1.0019 0.0052 -2.3332 0.0129 1.8206 0.0205 0.4893 0.0237 -1.3313 0.0135 0.00227 1.093 
2456967.32478 1.4491 0.0059 -1.3527 0.0163 0.4755 0.0068 -0.9101 0.0122 -2.8018 0.0155 -0.9736 0.0046 -2.3592 0.0111 1.8282 0.0158 0.4426 0.0188 -1.3856 0.0116 0.00227 1.094 
2456967.32627 1.4570 0.0062 -1.3747 0.0171 0.4673 0.0071 -0.8891 0.0124 -2.8317 0.0162 -0.9897 0.0047 -2.3461 0.0112 1.8420 0.0166 0.4856 0.0195 -1.3564 0.0117 0.00227 1.095 
2456967.32926 1.4787 0.0341 99.9999 9.9999 0.4108 0.0401 99.9999 9.9999 99.9999 9.9999 -1.0679 0.0248 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 0.00227 1.098 
2456967.33075 1.4391 0.0057 -1.3966 0.0168 0.4620 0.0065 -0.9374 0.0119 -2.8357 0.0160 -0.9771 0.0043 -2.3765 0.0109 1.8586 0.0163 0.4592 0.0192 -1.3994 0.0114 0.00227 1.099 
2456967.33225 1.4514 0.0057 -1.4028 0.0166 0.4589 0.0066 -0.8965 0.0112 -2.8542 0.0158 -0.9925 0.0044 -2.3479 0.0101 1.8617 0.0162 0.5063 0.0186 -1.3554 0.0106 0.00227 1.100 
2456967.33374 1.4408 0.0061 -1.3739 0.0172 0.4643 0.0069 -0.8975 0.0123 -2.8147 0.0163 -0.9765 0.0044 -2.3383 0.0111 1.8382 0.0166 0.4764 0.0195 -1.3618 0.0115 0.00227 1.101 
2456967.33523 1.4227 0.0085 -1.4167 0.0266 0.4634 0.0097 -0.8440 0.0172 -2.8394 0.0256 -0.9593 0.0062 -2.2667 0.0155 1.8801 0.0260 0.5727 0.0296 -1.3074 0.0162 0.00227 1.102 
