JD V-C s1 V-C1 s2 V-C2 s3 C-C1 s4 C-C2 s5 C1-C2 s6 HELCOR AIRMASS 
Aperture: 5, Filter: V, JD: geocentric
2457070.43236 -2.1772 0.0104 -1.7708 0.0073 -1.4936 0.0060 0.4064 0.0124 0.6836 0.0117 0.2772 0.0090 0.00238 1.174 
2457070.43288 -2.1881 0.0098 -1.7854 0.0073 -1.5124 0.0061 0.4027 0.0119 0.6757 0.0112 0.2730 0.0091 0.00238 1.175 
2457070.43341 -2.2076 0.0099 -1.7873 0.0074 -1.5105 0.0060 0.4203 0.0121 0.6971 0.0113 0.2768 0.0092 0.00238 1.176 
2457070.43395 -2.1883 0.0098 -1.8006 0.0073 -1.5040 0.0060 0.3877 0.0119 0.6843 0.0112 0.2966 0.0091 0.00238 1.177 
2457070.43448 -2.2090 0.0102 -1.7765 0.0073 -1.4599 0.0058 0.4325 0.0122 0.7491 0.0114 0.3166 0.0089 0.00238 1.179 
2457070.43500 -2.1986 0.0158 -1.8242 0.0113 -1.5284 0.0092 0.3744 0.0190 0.6702 0.0179 0.2958 0.0140 0.00238 1.180 
2457070.43660 -2.2031 0.0140 -1.8190 0.0103 -1.4897 0.0081 0.3841 0.0170 0.7134 0.0158 0.3293 0.0126 0.00238 1.184 
2457070.43712 -2.2008 0.0101 -1.7800 0.0075 -1.4925 0.0060 0.4208 0.0122 0.7083 0.0114 0.2875 0.0092 0.00238 1.185 
2457070.43765 -2.1964 0.0101 -1.7763 0.0073 -1.4989 0.0061 0.4201 0.0122 0.6975 0.0115 0.2774 0.0092 0.00238 1.186 
2457070.43818 -2.1848 0.0103 -1.7789 0.0075 -1.4962 0.0059 0.4059 0.0124 0.6886 0.0115 0.2827 0.0091 0.00238 1.187 
2457070.43872 -2.1986 0.0098 -1.7742 0.0073 -1.4936 0.0060 0.4244 0.0119 0.7050 0.0112 0.2806 0.0091 0.00238 1.189 
2457070.43925 -2.2117 0.0103 -1.7949 0.0075 -1.5150 0.0061 0.4168 0.0125 0.6967 0.0116 0.2799 0.0093 0.00238 1.190 
2457070.43977 -2.2064 0.0103 -1.7638 0.0073 -1.4959 0.0061 0.4426 0.0123 0.7105 0.0116 0.2679 0.0091 0.00238 1.191 
2457070.44030 -2.2068 0.0102 -1.7723 0.0073 -1.5087 0.0061 0.4345 0.0122 0.6981 0.0116 0.2636 0.0091 0.00238 1.192 
2457070.44083 -2.1987 0.0103 -1.7689 0.0073 -1.5052 0.0060 0.4298 0.0123 0.6935 0.0116 0.2637 0.0090 0.00238 1.194 
2457070.44137 -2.2104 0.0102 -1.7954 0.0075 -1.5199 0.0061 0.4150 0.0123 0.6905 0.0116 0.2755 0.0092 0.00238 1.195 
2457070.44190 -2.2003 0.0100 -1.7951 0.0074 -1.5021 0.0060 0.4052 0.0122 0.6982 0.0113 0.2930 0.0092 0.00238 1.196 
2457070.44243 -2.1732 0.0101 -1.7827 0.0076 -1.5093 0.0061 0.3905 0.0123 0.6639 0.0115 0.2734 0.0093 0.00238 1.198 
2457070.44295 -2.2226 0.0109 -1.7896 0.0076 -1.5177 0.0064 0.4330 0.0130 0.7049 0.0123 0.2719 0.0095 0.00238 1.199 
2457070.44348 -2.2104 0.0105 -1.7798 0.0076 -1.5083 0.0063 0.4306 0.0126 0.7021 0.0119 0.2715 0.0094 0.00238 1.200 
2457070.44402 -2.2004 0.0101 -1.7930 0.0073 -1.5098 0.0061 0.4074 0.0122 0.6906 0.0115 0.2832 0.0092 0.00238 1.202 
2457070.44455 -2.2094 0.0105 -1.7755 0.0075 -1.4964 0.0059 0.4339 0.0126 0.7130 0.0117 0.2791 0.0091 0.00238 1.203 
2457070.44507 -2.2087 0.0105 -1.7823 0.0074 -1.5017 0.0061 0.4264 0.0125 0.7070 0.0118 0.2806 0.0092 0.00238 1.204 
2457070.44560 -2.1993 0.0099 -1.7840 0.0072 -1.5138 0.0061 0.4153 0.0119 0.6855 0.0113 0.2702 0.0090 0.00238 1.206 
2457070.44613 -2.2025 0.0103 -1.7971 0.0076 -1.4972 0.0062 0.4054 0.0125 0.7053 0.0117 0.2999 0.0094 0.00238 1.207 
2457070.44666 -2.2038 0.0101 -1.7861 0.0072 -1.5096 0.0061 0.4177 0.0121 0.6942 0.0115 0.2765 0.0090 0.00238 1.208 
2457070.44719 -2.1799 0.0102 -1.7602 0.0073 -1.4852 0.0060 0.4197 0.0122 0.6947 0.0115 0.2750 0.0090 0.00238 1.210 
2457070.44772 -2.2199 0.0102 -1.7835 0.0074 -1.5107 0.0060 0.4364 0.0123 0.7092 0.0115 0.2728 0.0092 0.00238 1.211 
2457070.44824 -2.1890 0.0101 -1.7593 0.0072 -1.5063 0.0061 0.4297 0.0121 0.6827 0.0115 0.2530 0.0090 0.00238 1.212 
2457070.44877 -2.1866 0.0099 -1.7770 0.0073 -1.4830 0.0059 0.4096 0.0120 0.7036 0.0112 0.2940 0.0090 0.00238 1.214 
2457070.44931 -2.2035 0.0104 -1.7905 0.0073 -1.5236 0.0062 0.4130 0.0124 0.6799 0.0118 0.2669 0.0092 0.00238 1.215 
2457070.44983 -2.1845 0.0099 -1.7755 0.0075 -1.4975 0.0059 0.4090 0.0121 0.6870 0.0112 0.2780 0.0091 0.00238 1.216 
2457070.45036 -2.1928 0.0100 -1.7774 0.0073 -1.4874 0.0060 0.4154 0.0121 0.7054 0.0113 0.2900 0.0091 0.00238 1.218 
2457070.45089 -2.1985 0.0102 -1.7738 0.0073 -1.5099 0.0061 0.4247 0.0123 0.6886 0.0116 0.2639 0.0092 0.00238 1.219 
2457070.45142 -2.1976 0.0100 -1.7936 0.0074 -1.5153 0.0059 0.4040 0.0122 0.6823 0.0113 0.2783 0.0091 0.00238 1.221 
2457070.45196 -2.1890 0.0102 -1.7797 0.0073 -1.5092 0.0060 0.4093 0.0122 0.6798 0.0115 0.2705 0.0090 0.00238 1.222 
2457070.45249 -2.2079 0.0101 -1.7865 0.0073 -1.5134 0.0058 0.4214 0.0121 0.6945 0.0113 0.2731 0.0089 0.00238 1.224 
2457070.45301 -2.2232 0.0102 -1.7894 0.0073 -1.5034 0.0059 0.4338 0.0122 0.7198 0.0115 0.2860 0.0090 0.00238 1.225 
2457070.45354 -2.2102 0.0100 -1.7887 0.0072 -1.5006 0.0058 0.4215 0.0120 0.7096 0.0112 0.2881 0.0088 0.00238 1.226 
2457070.45407 -2.2171 0.0103 -1.7892 0.0072 -1.5277 0.0060 0.4279 0.0122 0.6894 0.0116 0.2615 0.0089 0.00238 1.228 
2457070.45461 -2.1940 0.0103 -1.7799 0.0073 -1.5024 0.0060 0.4141 0.0123 0.6916 0.0116 0.2775 0.0090 0.00238 1.229 
2457070.45514 -2.2014 0.0104 -1.7768 0.0074 -1.5026 0.0059 0.4246 0.0124 0.6988 0.0116 0.2742 0.0090 0.00238 1.231 
2457070.45566 -2.2065 0.0104 -1.7833 0.0074 -1.5163 0.0061 0.4232 0.0124 0.6902 0.0117 0.2670 0.0092 0.00238 1.232 
2457070.45619 -2.2154 0.0104 -1.7625 0.0073 -1.5073 0.0061 0.4529 0.0124 0.7081 0.0117 0.2552 0.0091 0.00238 1.234 
2457070.45672 -2.1900 0.0102 -1.7688 0.0073 -1.4936 0.0059 0.4212 0.0123 0.6964 0.0115 0.2752 0.0090 0.00238 1.235 
2457070.45725 -2.2126 0.0102 -1.7801 0.0073 -1.5109 0.0060 0.4325 0.0122 0.7017 0.0115 0.2692 0.0090 0.00238 1.237 
2457070.45778 -2.2221 0.0101 -1.7765 0.0070 -1.5189 0.0060 0.4456 0.0120 0.7032 0.0114 0.2576 0.0088 0.00238 1.238 
2457070.45831 -2.2145 0.0098 -1.7839 0.0071 -1.5193 0.0059 0.4306 0.0118 0.6952 0.0111 0.2646 0.0088 0.00238 1.239 
2457070.45884 -2.2080 0.0097 -1.8000 0.0072 -1.5153 0.0059 0.4080 0.0117 0.6927 0.0110 0.2847 0.0089 0.00238 1.241 
2457070.45936 -2.2127 0.0098 -1.7963 0.0071 -1.5193 0.0060 0.4164 0.0118 0.6934 0.0112 0.2770 0.0089 0.00238 1.242 
2457070.45990 -2.1814 0.0099 -1.7827 0.0071 -1.5259 0.0058 0.3987 0.0118 0.6555 0.0112 0.2568 0.0087 0.00238 1.244 
2457070.46043 -2.2081 0.0099 -1.7743 0.0071 -1.5066 0.0060 0.4338 0.0118 0.7015 0.0113 0.2677 0.0089 0.00238 1.245 
2457070.46096 -2.2129 0.0103 -1.7887 0.0070 -1.5087 0.0058 0.4242 0.0121 0.7042 0.0115 0.2800 0.0087 0.00238 1.247 
2457070.46149 -2.2028 0.0102 -1.7813 0.0071 -1.5229 0.0060 0.4215 0.0121 0.6799 0.0115 0.2584 0.0089 0.00238 1.248 
2457070.46201 -2.2047 0.0103 -1.7702 0.0072 -1.5174 0.0059 0.4345 0.0122 0.6873 0.0115 0.2528 0.0089 0.00238 1.250 
2457070.46255 -2.2193 0.0100 -1.7779 0.0072 -1.5090 0.0058 0.4414 0.0120 0.7103 0.0112 0.2689 0.0088 0.00238 1.252 
2457070.46308 -2.2185 0.0101 -1.7889 0.0072 -1.5105 0.0060 0.4296 0.0121 0.7080 0.0114 0.2784 0.0089 0.00238 1.253 
2457070.46360 -2.2128 0.0105 -1.7926 0.0073 -1.5186 0.0061 0.4202 0.0125 0.6942 0.0118 0.2740 0.0091 0.00238 1.255 
2457070.46413 -2.2027 0.0101 -1.7820 0.0071 -1.5013 0.0060 0.4207 0.0120 0.7014 0.0114 0.2807 0.0089 0.00238 1.256 
2457070.46466 -2.2098 0.0102 -1.7750 0.0073 -1.5100 0.0060 0.4348 0.0122 0.6998 0.0115 0.2650 0.0090 0.00238 1.258 
2457070.46520 -2.2267 0.0102 -1.7828 0.0073 -1.5133 0.0061 0.4439 0.0123 0.7134 0.0116 0.2695 0.0092 0.00238 1.259 
