JD V-C s1 V-C1 s2 V-C2 s3 V-C3 s4 V-C4 s5 C-C1 s6 C-C2 s7 C-C3 s8 C-C4 s9 C1-C2 s10 C1-C3 s11 C1-C4 s12 C2-C3 s13 C2-C4 s14 C3-C4 s15 HELCOR AIRMASS 
Aperture: 3, Filter: I, JD: geocentric
2456972.23308 -5.0962 0.1093 -2.5681 0.0118 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 2.5281 0.1099 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 0.00333 2.281 
2456972.23377 -5.1983 0.0855 -2.5773 0.0087 99.9999 9.9999 -5.5409 0.1047 -5.5649 0.1126 2.6210 0.0859 99.9999 9.9999 -0.3426 0.1352 -0.3666 0.1414 99.9999 9.9999 -2.9636 0.1050 -2.9876 0.1129 99.9999 9.9999 99.9999 9.9999 -0.0240 0.1538 0.00333 2.274 
2456972.23446 -5.1353 0.0646 -2.4358 0.0065 99.9999 9.9999 -5.3908 0.0721 -5.5125 0.0813 2.6995 0.0649 99.9999 9.9999 -0.2555 0.0968 -0.3772 0.1038 99.9999 9.9999 -2.9550 0.0724 -3.0767 0.0815 99.9999 9.9999 99.9999 9.9999 -0.1217 0.1087 0.00333 2.267 
2456972.23516 -5.1995 0.0502 -2.6778 0.0058 -6.1528 0.1031 -5.3709 0.0491 -5.4453 0.0535 2.5217 0.0505 -0.9533 0.1147 -0.1714 0.0702 -0.2458 0.0734 -3.4750 0.1033 -2.6931 0.0494 -2.7675 0.0538 0.7819 0.1142 0.7075 0.1162 -0.0744 0.0726 0.00333 2.261 
2456972.23587 -5.1205 0.0627 -2.7493 0.0080 -6.0477 0.1243 -5.2549 0.0616 -5.4699 0.0795 2.3712 0.0632 -0.9272 0.1392 -0.1344 0.0879 -0.3494 0.1012 -3.2984 0.1246 -2.5056 0.0621 -2.7206 0.0799 0.7928 0.1387 0.5778 0.1475 -0.2150 0.1006 0.00333 2.254 
2456972.23656 -5.1230 0.0601 -2.6651 0.0071 99.9999 9.9999 -5.3576 0.0646 -5.4352 0.0722 2.4579 0.0605 99.9999 9.9999 -0.2346 0.0882 -0.3122 0.0939 99.9999 9.9999 -2.6925 0.0650 -2.7701 0.0725 99.9999 9.9999 99.9999 9.9999 -0.0776 0.0969 0.00333 2.247 
2456972.23727 -5.1880 0.0499 -2.7846 0.0063 99.9999 9.9999 -5.4328 0.0527 -5.3727 0.0544 2.4034 0.0503 99.9999 9.9999 -0.2448 0.0726 -0.1847 0.0738 99.9999 9.9999 -2.6482 0.0531 -2.5881 0.0548 99.9999 9.9999 99.9999 9.9999 0.0601 0.0757 0.00333 2.240 
2456972.23796 -5.1164 0.0477 -2.7529 0.0063 -6.0333 0.0969 -5.3073 0.0495 -5.2930 0.0499 2.3635 0.0481 -0.9169 0.1080 -0.1909 0.0687 -0.1766 0.0690 -3.2804 0.0971 -2.5544 0.0499 -2.5401 0.0503 0.7260 0.1088 0.7403 0.1090 0.0143 0.0703 0.00333 2.233 
2456972.23866 -5.1422 0.0500 -2.7288 0.0063 99.9999 9.9999 -5.4092 0.0556 -5.4656 0.0586 2.4134 0.0504 99.9999 9.9999 -0.2670 0.0748 -0.3234 0.0770 99.9999 9.9999 -2.6804 0.0559 -2.7368 0.0589 99.9999 9.9999 99.9999 9.9999 -0.0564 0.0808 0.00333 2.227 
2456972.23933 -5.1051 0.0781 -2.7896 0.0099 99.9999 9.9999 -5.4603 0.0907 -5.1887 0.0785 2.3155 0.0787 99.9999 9.9999 -0.3552 0.1197 -0.0836 0.1107 99.9999 9.9999 -2.6707 0.0912 -2.3991 0.0791 99.9999 9.9999 99.9999 9.9999 0.2716 0.1200 0.00333 2.220 
